circuit,ratio,excluded_ff,total_ff,denominator,T1_DT,T1_AU,T1_AB,T1_TO,T1_FC,R1_count,T2_target,T2_new_DT,T2_AU,T2_AB,T2_TO,R2_count,T4_target,T4_new_DT,T4_AU,T4_AB,T4_TO,final_DT,FC_T1,FC_T1_T2,FC_T1_T2_T4,gain_T2_pp,gain_T4_pp,total_gain_pp,T1_rt,T2_rt,T4_rt,total_rt,recovered_per_sec_T2,recovered_per_sec_T4,T1_mem_mb,T2_mem_mb,T4_mem_mb,peak_mem_mb,per_target_timeout_sec,status
b03,0.1,4,30,809,360,393,0,0,44.5,449,449,0,393,0,0,449,449,0,393,0,0,360,44.5,44.5,44.5,0.0,0.0,0.0,0.01,0.01,0.01,0.03,0,0,10.49,10.66,10.97,10.97,0.0,PASS
b04,0.1,7,66,2291,1723,443,3,0,75.21,568,568,112,332,2,0,456,456,122,210,2,0,1957,75.21,80.1,85.42,4.89,5.33,10.21,6.29,4.26,5.72,16.27,26.3,21.34,12.39,12.61,13.7,13.7,0.0,PASS
b05,0.1,9,88,4665,4208,279,0,0,90.2,457,457,0,279,0,0,457,457,0,279,0,0,4208,90.2,90.2,90.2,0.0,0.0,0.0,2.86,3.57,5.49,11.92,0,0,14.95,15.5,17.48,17.48,0.0,PASS
b07,0.1,5,44,1591,893,616,0,0,56.13,698,698,0,616,0,0,698,698,24,592,0,0,917,56.13,56.13,57.64,0.0,1.51,1.51,0.02,0.01,0.02,0.04,0,1559.27,11.46,11.62,12.36,12.36,0.0,PASS
b08,0.1,7,27,957,862,37,0,0,90.07,95,95,0,37,0,0,95,95,0,37,0,0,862,90.07,90.07,90.07,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0,0,10.74,10.9,11.3,11.3,0.0,PASS
b09,0.1,3,29,930,710,164,0,0,76.34,220,220,95,69,0,0,125,125,0,69,0,0,805,76.34,86.56,86.56,10.22,0.0,10.22,0.01,0.16,0.23,0.4,593.56,0,10.73,10.9,11.3,11.3,0.0,PASS
s953,0.1,3,29,1853,681,1120,0,0,36.75,1172,1172,12,1108,0,0,1160,1160,0,1108,0,0,693,36.75,37.4,37.4,0.65,0.0,0.65,0.02,0.04,0.05,0.11,319.72,0,11.96,12.28,13.28,13.28,0.0,PASS
s1196,0.1,2,18,2184,1881,271,0,0,86.13,303,303,268,3,0,0,35,35,0,3,0,0,2149,86.13,98.4,98.4,12.27,0.0,12.27,0.04,0.02,0.01,0.06,16805.06,0,12.43,12.77,13.92,13.92,0.0,PASS
s1238,0.1,2,18,2235,1842,361,0,0,82.42,393,393,284,77,0,0,109,109,0,73,4,0,2126,82.42,95.12,95.12,12.71,0.0,12.71,0.05,0.13,0.92,1.1,2213.87,0,12.46,12.76,13.82,13.82,0.0,PASS
s5378,0.1,18,179,10169,7546,2299,2,0,74.21,2623,2623,1548,750,3,0,1075,1075,252,498,3,0,9346,74.21,89.43,91.91,15.22,2.48,17.7,4.7,1.02,1.37,7.1,1517.77,183.7,24.96,26.13,31.43,31.43,0.0,PASS
